rawmaterialid,rawmaterialname,available_stocks,particulars_name,last_updated
RM16UD10023,UD10023 YELLOW,0.0,,2025-09-29
RM1661001,61001 BLUE,0.0,,2025-09-30
RM16UD10005,UD10005 BLACK,0.0,,2025-10-01
RM16UD10027,UD10027 ANTI BLOCK & SLIP,0.0,,2025-10-07
RM16UD10028,UD10028 BLACK,0.0,,2025-10-07
RM16UD10032,UD10032 RED,0.0,,2025-10-15
RM16UD10033,UD10033 GREEN,0.0,,2025-10-15
RM1616001,16001 GREY,0.0,,2025-10-29
RM16UD10031,UD10031 RED,0.0,,2025-11-03
RM1612000,,85.0,ABS-BLACK-12000,2025-09-29
CMB,,6168.0,CMB,2025-09-29
RM1640134,,28.0,PE-GREEN-40134,2025-09-29
ABS BLACK 12001,,144.0,ABS BLACK 12001,2025-09-29
RM1617002,,68.0,ABS-GREY-17002,2025-09-29
RM1672002,,85.0,ABS-ORANGE-72002,2025-09-29
RM1687003,,79.0,ABS-PINK-87003,2025-09-29
RM161,CHOCOLATE,1400.0,COMPOUND-1,2025-09-29
RM163,KACHA BELLA VF,275.0,COMPOUND-3,2025-09-29
RM16RT3001,,300.0,Compound-LLDPE-Red-RT3001,2025-09-29
RM16SMPP1025,,25.0,Compound-PP-Grey-SMPP1025,2025-09-29
RM16RAU3065,,2.0,Compound-PVC-Grey-RAU3065,2025-09-29
RM165595NN,,1.0,Compound-Pvc-Natural-WC-5595NN,2025-09-29
RM1613021,,39.0,EVA-BLACK-13021,2025-09-29
RM1613026,,209.0,EVA-BLACK-13026,2025-09-29
RM1613501,,29.0,EVA-BLACK-13501,2025-09-29
RM1663501,,359.0,EVA-BLUE-63501,2025-09-29
RM1663502,,5.0,EVA-BLUE-63502,2025-09-29
RM1643501,,2.0,EVA-GREEN-43501,2025-09-29
RM1643502,,5.0,EVA-GREEN-43502,2025-09-29
RM1618501,,1.0,EVA-GREY-18501,2025-09-29
RM1618502,,8.0,EVA-GREY-18502,2025-09-29
RM1670083,,294.0,EVA-ORANGE-70083,2025-09-29
RM1673511,,4.0,EVA-ORANGE-73511,2025-09-29
RM1683501,,6.0,EVA-PINK-83501,2025-09-29
RM1683502,,5.0,EVA-PINK-83502,2025-09-29
RM1630125,,164.0,EVA-RED-30125,2025-09-29
RM1633501,,365.0,EVA-RED-33501,2025-09-29
RM1633502,,6.0,EVA-RED-33502,2025-09-29
RM1623501,,6.0,EVA-WHITE-23501,2025-09-29
RM1653501,,5.0,EVA-YELLOW-53501,2025-09-29
RM1612003,,149.0,HIPS-BLACK-12003,2025-09-29
RM1617004,,33.0,HIPS-GREY-17004,2025-09-29
Master Batch,,1525.0,Master Batch,2025-09-29
RM160020,,17.0,PE-ADDITIVE-0020,2025-09-29
RM160021,,220.0,PE-ADDITIVE-0021,2025-09-29
RM160031,,2.0,PE-ADDITIVE-0031,2025-09-29
RM160201,,18.0,PE-ADDITIVE-ANTI RODENT-ADV-0201,2025-09-29
RM160301,,12.0,PE-ADDITIVE-BIO-DEGRADABLE-0301,2025-09-29
RM1610191,,100.0,PE-ADDITIVE-BLACK-UV-10191,2025-09-29
RM160002,,325.0,PE-ADDITIVE-HEATSTAB-ADV-0002,2025-09-29
RM160051,,141.0,PE-ADDITIVE-OBADV-0051,2025-09-29
RM160004,,27.0,PE-ADDITIVE-SLIP-ADV-0004,2025-09-29
RM160003,,1516.0,PE-ADDITIVE-UV-ADV-0003,2025-09-29
RM16001,,157.0,PE-ADDITIVE-UV-ADV-001,2025-09-29
RM160023,,175.0,PE-ADDITIVE-UV ADV-0023,2025-09-29
RM16ABS,,25.0,PE-ADDITIVE-WHITE-21036-ABS,2025-09-29
RM1610000,,245.0,PE-BLACK-10000,2025-09-29
RM1610030,,50.0,PE-BLACK-10030,2025-09-29
RM1610040,,506.0,PE-BLACK-10040,2025-09-29
RM1610041,,75.0,PE-BLACK-10041,2025-09-29
RM1610042,,92.0,PE-BLACK-10042,2025-09-29
RM1610043,,178.0,PE-BLACK-10043,2025-09-29
RM1610046,,315.0,PE-BLACK-10046,2025-09-29
RM1610050,,289.0,PE-BLACK-10050,2025-09-29
RM1610051,,3849.0,PE-BLACK-10051,2025-09-29
RM1610052,,585.0,PE-BLACK-10052,2025-09-29
RM1610053,,429.0,PE-BLACK-10053,2025-09-29
RM1610139,,400.0,PE-BLACK-10139,2025-09-29
RM1610142,,1232.0,PE-BLACK-10142,2025-09-29
RM1610144,10144 BLACK,1132.0,PE-BLACK-10144,2025-09-29
RM1610146,,156.0,PE-BLACK-10146,2025-09-29
RM1610162,,5.0,PE-BLACK-10162,2025-09-29
RM1610164,,308.0,PE-BLACK-10164,2025-09-29
RM1660000,,414.0,PE-BLUE-60000,2025-09-29
RM1660010,,75.0,PE-BLUE-60010,2025-09-29
RM1660025,,999.0,PE-BLUE-60025,2025-09-29
RM1660036,,0.0,PE-BLUE-60036,2025-09-29
RM1660051,,19.0,PE-BLUE-60051,2025-09-29
RM1660066,,162.0,PE-BLUE-60066,2025-09-29
RM1660094,,15.0,PE-BLUE-60094,2025-09-29
RM1660101,,575.0,PE-BLUE-60101,2025-09-29
RM1660103,,50.0,PE-BLUE-60103,2025-09-29
RM1660105,,11.0,PE-BLUE-60105,2025-09-29
RM1660119,,138.0,PE-BLUE-60119,2025-09-29
RM1660132,,25.0,PE-BLUE-60132,2025-09-29
RM1660141,,2312.0,PE-BLUE-60141,2025-09-29
RM1660144,,25.0,PE-BLUE-60144,2025-09-29
RM1660147,,28.0,PE-BLUE-60147,2025-09-29
RM1660152,,75.0,PE-BLUE-60152,2025-09-29
RM1660155,,500.0,PE-BLUE-60155,2025-09-29
RM1660161,,308.0,PE-BLUE-60161,2025-09-29
RM1660165,,50.0,PE-BLUE-60165,2025-09-29
RM1660186,,1.0,PE-BLUE-60186,2025-09-29
RM1660196,,5591.0,PE-BLUE-60196,2025-09-29
RM1660198,,109.0,PE-BLUE-60198,2025-09-29
RM1660206,,12.0,PE-BLUE-60206,2025-09-29
RM1661801,,32.0,PE-BLUE-61801,2025-09-29
RM1690000,,283.0,PE-BROWN-90000,2025-09-29
RM1690072,,86.0,PE-BROWN-90072,2025-09-29
RM1690089,,20.0,PE-BROWN-90089,2025-09-29
RM1690102,,25.0,PE-BROWN-90102,2025-09-29
RM1620701,,4.0,PE-CREAMWHITE -20701,2025-09-29
RM1640000,,237.0,PE-GREEN-40000,2025-09-29
RM1640025,,682.0,PE-GREEN-40025,2025-09-29
RM1640052,,1.0,PE-GREEN-40052,2025-09-29
RM1640091,,23.0,PE-GREEN-40091,2025-09-29
RM1640094,,2420.0,PE-GREEN-40094,2025-09-29
RM1640095,,69.0,PE-GREEN-40095,2025-09-29
RM1640097,,49.0,PE-GREEN-40097,2025-09-29
RM1640112,,413.0,PE-GREEN-40112,2025-09-29
RM1640120,,137.0,PE-GREEN-40120,2025-09-29
RM1640125,,47.0,PE-GREEN-40125,2025-09-29
RM1640130,,10.0,PE-GREEN-40130,2025-09-29
RM1640131,,456.0,PE-GREEN-40131,2025-09-29
RM1640135,,642.0,PE-GREEN-40135,2025-09-29
RM1640143,,35.0,PE-GREEN-40143,2025-09-29
RM1640150,,744.0,PE-GREEN-40150,2025-09-29
RM1640156,,150.0,PE-GREEN-40156,2025-09-29
RM1615000,,90.0,PE-GREY-15000,2025-09-29
RM1615001,,533.0,PE-GREY-15001,2025-09-29
RM1615014,,16.0,PE-GREY-15014,2025-09-29
RM1615015,,25.0,PE-GREY-15015,2025-09-29
RM1615024,,25.0,PE-GREY-15024,2025-09-29
RM1615036,,425.0,PE-GREY-15036,2025-09-29
RM1615038,,19.0,PE-GREY-15038,2025-09-29
RM1615048,,78.0,PE-GREY-15048,2025-09-29
RM1615060,,26.0,PE-GREY-15060,2025-09-29
RM1615062,,201.0,PE-GREY-15062,2025-09-29
RM1615064,,2225.0,PE-GREY-15064,2025-09-29
RM1615070,,45.0,PE-GREY-15070,2025-09-29
RM1615071,,299.0,PE-GREY-15071,2025-09-29
RM1615081,,242.0,PE-GREY-15081,2025-09-29
RM1615082,,276.0,PE-GREY-15082,2025-09-29
RM1615083,,319.0,PE-GREY-15083,2025-09-29
RM1617001,,381.0,PE-GREY-17001,2025-09-29
RM1617007,,545.0,PE-GREY-17007,2025-09-29
RM1617010,,407.0,PE-GREY-17010,2025-09-29
RM1617013,,125.0,PE-GREY-17013,2025-09-29
RM1680006,,139.0,PE-IVORY-80006,2025-09-29
"RM1614046_x000D_
",,75.0,"PE-Metallic-Gold-14046_x000D_
",2025-09-29
RM1670001,,199.0,PE-ORANGE-70001,2025-09-29
RM1670009,,25.0,PE-ORANGE-70009,2025-09-29
RM1670026,,38.0,PE-ORANGE-70026,2025-09-29
RM1670034,,15.0,PE-ORANGE-70034,2025-09-29
RM1670040C,,67.0,PE-ORANGE-70040C,2025-09-29
RM1670042,,172.0,PE-ORANGE-70042,2025-09-29
RM1670062,,829.0,PE-ORANGE-70062,2025-09-29
RM1670069,,15.0,PE-ORANGE-70069,2025-09-29
RM1670076,,25.0,PE-ORANGE-70076,2025-09-29
RM1670077,,3.0,PE-ORANGE-70077,2025-09-29
RM1670081,,7.0,PE-ORANGE-70081,2025-09-29
RM1670084,,87.0,PE-ORANGE-70084,2025-09-29
"RM1670086
",,109.0,"PE-ORANGE-70086
",2025-09-29
RM1670094,,0.0,PE-ORANGE-70094,2025-09-29
RM1672004,,5.0,PE-ORANGE-72004,2025-09-29
RM1614076,,145.0,PE-PEARL-WHITE-14076,2025-09-29
RM1685000,,490.0,PE-PINK-85000,2025-09-29
RM1685006,,113.0,PE-PINK-85006,2025-09-29
RM1685008,,63.0,PE-PINK-85008,2025-09-29
RM1685009,,36.0,PE-PINK-85009,2025-09-29
RM1685037,,0.0,PE-PINK-85037,2025-09-29
RM1685048,,2.0,PE-PINK-85048,2025-09-29
RM1685039,,159.0,PE-PINK-FL-85039,2025-09-29
RM1685055,,29.0,PE-PINK-FL-85055,2025-09-29
RM1630000,,126.0,PE-RED-30000,2025-09-29
RM1630005,,64.0,PE-RED-30005,2025-09-29
RM1630022,,2.0,PE-RED-30022,2025-09-29
RM1630027,,138.0,PE-RED-30027,2025-09-29
RM1630057,,5.0,PE-RED-30057,2025-09-29
RM1630063,,1.0,PE-RED-30063,2025-09-29
RM1630068,,470.0,PE-RED-30068,2025-09-29
RM1630073,,2.0,PE-RED-30073,2025-09-29
RM1630093,,4.0,PE-RED-30093,2025-09-29
RM1630104,,62.0,PE-RED-30104,2025-09-29
RM1630106,,311.0,PE-RED-30106,2025-09-29
RM1630114,,26.0,PE-RED-30114,2025-09-29
RM1630117,,14.0,PE-RED-30117,2025-09-29
RM1630118,,13.0,PE-RED-30118,2025-09-29
RM1630120,,1.0,PE-RED-30120,2025-09-29
RM1630126,,858.0,PE-RED-30126,2025-09-29
RM1630147,,14.0,PE-RED-30147,2025-09-29
RM1630099,,46.0,PE-RED-RF-30099,2025-09-29
RM160230,,4.0,PE-Universal-Anti Rodent-ADV-0230,2025-09-29
RM1680015,,624.0,PE-VIOLET-80015,2025-09-29
RM1680000,,32.0,PE-VOILET-80000,2025-09-29
RM1610141,,137.0,PE-WHITE-10141,2025-09-29
RM1620000,,180.0,PE-WHITE-20000,2025-09-29
RM1620039,,25.0,PE-WHITE-20039,2025-09-29
RM1620110,,68.0,PE-WHITE-20110,2025-09-29
RM1620120,,194.0,PE-WHITE-20120,2025-09-29
RM1620122,,200.0,PE-WHITE-20122,2025-09-29
RM1620126,,1550.0,PE-WHITE-20126,2025-09-29
RM1620127,,1000.0,PE-WHITE-20127,2025-09-29
RM1620128,,196.0,PE-WHITE-20128,2025-09-29
RM1620136,,27.0,PE-WHITE-20136,2025-09-29
RM1620151,,611.0,PE-WHITE-20151,2025-09-29
RM1620189,,44.0,PE-WHITE-20189,2025-09-29
RM1620190,,20.0,PE-WHITE-20190,2025-09-29
RM1620193,,25.0,PE-WHITE-20193,2025-09-29
RM1620199,,1022.0,PE-WHITE-20199,2025-09-29
RM1620203,,9.0,PE-WHITE-20203,2025-09-29
RM1620208,,3179.0,PE-WHITE-20208,2025-09-29
RM1620209,,104.0,PE-WHITE-20209,2025-09-29
RM1620210,,100.0,PE-WHITE-20210,2025-09-29
RM1620211,,197.0,PE-WHITE-20211,2025-09-29
RM1620213,,635.0,PE-WHITE-20213,2025-09-29
RM1620215,,75.0,PE-WHITE-20215,2025-09-29
RM1620217,,55.0,PE-WHITE-20217,2025-09-29
RM1620221,,0.0,PE-WHITE-20221,2025-09-29
RM1620370,,10.0,PE-WHITE-20370,2025-09-29
RM1620411,,66.0,PE-WHITE-20411,2025-09-29
RM1650000,,30.0,PE-YELLOW-50000,2025-09-29
RM1650012,,378.0,PE-YELLOW-50012,2025-09-29
RM1650014,,74.0,PE-YELLOW-50014,2025-09-29
RM1650035,,19.0,PE-YELLOW-50035,2025-09-29
RM1650044A,,89.0,PE-YELLOW-50044A,2025-09-29
RM1650063,,60.0,PE-YELLOW-50063,2025-09-29
RM1650124,,98.0,PE-YELLOW-50124,2025-09-29
RM1650126,,73.0,PE-YELLOW-50126,2025-09-29
RM1650127,,1.0,PE-YELLOW-50127,2025-09-29
RM1650129,,1000.0,PE-YELLOW-50129,2025-09-29
RM1650131,,230.0,PE-YELLOW-50131,2025-09-29
RM1650132,,796.0,PE-YELLOW-50132,2025-09-29
RM1650133,,31.0,PE-YELLOW-50133,2025-09-29
RM1650136,,360.0,PE-YELLOW-50136,2025-09-29
RM1650139,,5.0,PE-YELLOW-50139,2025-09-29
RM1650154,,29.0,PE-YELLOW-50154,2025-09-29
RM1650157,,14.0,PE-YELLOW-50157,2025-09-29
RM1650158,,255.0,PE-YELLOW-50158,2025-09-29
RM1650162,,79.0,PE-YELLOW-50162,2025-09-29
RM1650174,,10.0,PE-YELLOW-50174,2025-09-29
RM1650175,,135.0,PE-YELLOW-50175,2025-09-29
RM1650177,,9.0,PE-YELLOW-50177,2025-09-29
RM1650180,,168.0,PE-YELLOW-50180,2025-09-29
RM1650181,,0.0,PE-YELLOW-50181,2025-09-29
RM1650200,,3.0,PE-YELLOW-50200,2025-09-29
RM160105,,40.0,PVC-ADDITIVE-ATAR-0105,2025-09-29
RM160121,,14.0,PVC-ADDITIVE-UV-ADV-0121,2025-09-29
RM160110,,23.0,PVC-ADV-0110,2025-09-29
RM1691000,,342.0,PVC-BEIGE-91000,2025-09-29
RM1691020,,99.0,PVC-BEIGE-91020,2025-09-29
RM1691034,,24.0,PVC-BEIGE-91034,2025-09-29
RM1691041,,94.0,PVC-BEIGE-91041,2025-09-29
RM1691042,,113.0,PVC-BEIGE-91042,2025-09-29
RM1691043,,93.0,PVC-BEIGE-91043,2025-09-29
RM1691084,,74.0,PVC-BEIGE-91084,2025-09-29
RM1691087,,22.0,PVC-BEIGE-91087,2025-09-29
RM1691094,,118.0,PVC-BEIGE-91094,2025-09-29
RM1691520,,17.0,PVC-BEIGE-91520,2025-09-29
RM1611000,,395.0,PVC-BLACK-11000,2025-09-29
RM1611190,,950.0,PVC-BLACK-11190,2025-09-29
RM1611200,,400.0,PVC-BLACK-11200,2025-09-29
RM1611201,,304.0,PVC-BLACK-11201,2025-09-29
RM1611203,,344.0,PVC-BLACK-11203,2025-09-29
RM1611204,,860.0,PVC-BLACK-11204,2025-09-29
RM1611206,,525.0,PVC-BLACK-11206,2025-09-29
RM1611210,,109.0,PVC-BLACK-11210,2025-09-29
RM1611220,,95.0,PVC-BLACK-11220,2025-09-29
RM1611502,,806.0,PVC-BLACK-11502,2025-09-29
RM1611506,,75.0,PVC-BLACK-11506,2025-09-29
RM1611509,,170.0,PVC-BLACK-11509,2025-09-29
RM1611510,,2204.0,PVC-BLACK-11510,2025-09-29
RM1611515,,4011.0,PVC-BLACK-11515,2025-09-29
RM1611522,,272.0,PVC-BLACK-11522,2025-09-29
RM1611523,,190.0,PVC-BLACK-11523,2025-09-29
RM1611545,,338.0,PVC-BLACK-11545,2025-09-29
RM1611601,,3.0,PVC-BLACK-11601,2025-09-29
RM1661000,,717.0,PVC-BLUE-61000,2025-09-29
RM1661007,,623.0,PVC-BLUE-61007,2025-09-29
RM1661016,,888.0,PVC-BLUE-61016,2025-09-29
RM1661019,,162.0,PVC-BLUE-61019,2025-09-29
RM1661220,,24.0,PVC-BLUE-61220,2025-09-29
RM1661222,,387.0,PVC-BLUE-61222,2025-09-29
RM1661224,,442.0,PVC-BLUE-61224,2025-09-29
RM1661225,,15.0,PVC-BLUE-61225,2025-09-29
RM1661226,,342.0,PVC-BLUE-61226,2025-09-29
RM1661230,,99.0,PVC-BLUE-61230,2025-09-29
RM1661241,,1.0,PVC-BLUE-61241,2025-09-29
RM1661401,,4.0,PVC-BLUE-61401,2025-09-29
